,RBER,SIGMA,SKEW,CAPACITY,T0,T1,T2,LLR0,LLR1,LLR2,LLR3
0,0.001,0.6472005344090759,0.5,0.7380608760792219,-0.9974999999999999,0.0,0.9974999999999999,21.128144604195374,6.206410865266123,-6.2064108652661725,-21.12814444709135
1,0.00599,0.7959461194258717,0.5,0.701963968739242,-0.9974999999999999,0.0,0.9974999999999999,14.476526559891312,4.407421835285491,-4.4074218352855,-14.476526559829553
2,0.01098,0.872958739581734,0.5,0.6727659198100193,-0.9974999999999999,0.0,0.9974999999999999,12.266002532991369,3.7918598606172176,-3.7918598606172162,-12.266002532991484
3,0.015969999999999998,0.9323310803898376,0.5,0.6469781905080147,-0.9974999999999999,0.0,0.9974999999999999,10.914118936365455,3.407577396510515,-3.4075773965105145,-10.914118936370825
4,0.02096,0.9831326539429318,0.5,0.623505244124078,-0.9974999999999999,0.0,0.9974999999999999,9.941429179876213,3.1260775144444573,-3.1260775144444586,-9.94142917987392
5,0.02595,1.0288265473392117,0.5,0.6017883146246406,-0.9974999999999999,0.0,0.9974999999999999,9.183214602503018,2.903032328719199,-2.9030323287191973,-9.183214602503801
6,0.03094,1.0711485746519362,0.5,0.5814845598089041,-0.9974999999999999,0.0,0.9974999999999999,8.563022452802642,2.7178064463688383,-2.7178064463688396,-8.563022452802452
7,0.03593,1.111108616074166,0.5,0.5623606018949082,-0.9974999999999999,0.0,0.9974999999999999,8.039094925122066,2.559102430091019,-2.5591024300910172,-8.039094925122257
8,0.04092,1.1493537382536638,0.5,0.5442465315794297,-0.9974999999999999,0.0,0.9974999999999999,7.58612299337795,2.4200593981554794,-2.420059398155479,-7.586122993378103
9,0.04591,1.1863280199224107,0.5,0.527012690973994,-0.9974999999999999,0.0,0.9974999999999999,7.187608524018514,2.296197110465042,-2.2961971104650405,-7.18760852401861
10,0.0509,1.222352539102035,0.5,0.5105566586519737,-0.9974999999999999,0.0,0.9974999999999999,6.832200231949051,2.184428016410961,-2.18442801641096,-6.832200231949126
11,0.055889999999999995,1.2576692801394533,0.5,0.49479537524971784,-0.9974999999999999,0.0,0.9974999999999999,6.511755274342869,2.0825338263160287,-2.082533826316027,-6.511755274342936
12,0.06088,1.2924669867117236,0.5,0.4796600927053545,-0.9974999999999999,0.0,0.9974999999999999,6.220234904891783,1.9888669256930087,-1.9888669256930076,-6.220234904891832
13,0.06587,1.3268972501737164,0.5,0.4650929808022628,-0.9974999999999999,0.0,0.9974999999999999,5.953037582348494,1.9021698666042708,-1.902169866604272,-5.95303758234846
14,0.07085999999999999,1.3610849815835233,0.5,0.4510447590895241,-0.9974999999999999,0.0,0.9974999999999999,5.706576840273841,1.8214609993902462,-1.8214609993902462,-5.706576840273844
15,0.07585,1.3951354880119695,0.5,0.43747299107019355,-0.9974999999999999,0.0,0.9974999999999999,5.478003491752442,1.7459591465700401,-1.7459591465700393,-5.47800349175245
16,0.08084,1.4291394090868932,0.5,0.42434082171941556,-0.9974999999999999,0.0,0.9974999999999999,5.26501674257364,1.6750323478996196,-1.6750323478996194,-5.2650167425736445
17,0.08582999999999999,1.463176257507718,0.5,0.4116160209047486,-0.9974999999999999,0.0,0.9974999999999999,5.065732125364087,1.608162001550506,-1.608162001550506,-5.065732125364082
18,0.09082,1.497317021452726,0.5,0.3992702434511144,-0.9974999999999999,0.0,0.9974999999999999,4.8785869110282745,1.5449171673356494,-1.5449171673356488,-4.87858691102828
19,0.09580999999999999,1.531626120448704,0.5,0.3872784461546286,-0.9974999999999999,0.0,0.9974999999999999,4.702270923642381,1.4849357624828152,-1.4849357624828146,-4.7022709236423905
20,0.1008,1.5661629058693116,0.5,0.3756184207921214,-0.9974999999999999,0.0,0.9974999999999999,4.535674991339685,1.4279105451199228,-1.4279105451199232,-4.535674991339682
21,0.10579,1.60098283468441,0.5,0.36427041439865904,-0.9974999999999999,0.0,0.9974999999999999,4.377851901868278,1.3735784940996887,-1.3735784940996891,-4.37785190186827
22,0.11077999999999999,1.6361384050275691,0.5,0.3532168162616469,-0.9974999999999999,0.0,0.9974999999999999,4.227986392499662,1.321712643636678,-1.3217126436366775,-4.227986392499667
23,0.11577,1.6716799158615339,0.5,0.3424418966708207,-0.9974999999999999,0.0,0.9974999999999999,4.085371777694869,1.2721157222067712,-1.2721157222067712,-4.08537177769487
24,0.12075999999999999,1.7076560953917712,0.5,0.33193158636246745,-0.9974999999999999,0.0,0.9974999999999999,3.9493915280940053,1.2246151377202632,-1.2246151377202636,-3.949391528094004
25,0.12574999999999997,1.744114630825679,0.5,0.32167328836403764,-0.9974999999999999,0.0,0.9974999999999999,3.819504593851244,1.1790589810537935,-1.1790589810537935,-3.8195045938512475
26,0.13074,1.781102623694593,0.5,0.3116557159415907,-0.9974999999999999,0.0,0.9974999999999999,3.695233595110228,1.1353128095349332,-1.1353128095349332,-3.6952335951102295
27,0.13573,1.8186669890417542,0.5,0.30186875181322215,-0.9974999999999999,0.0,0.9974999999999999,3.5761552330980653,1.0932570346140837,-1.0932570346140842,-3.576155233098062
28,0.14071999999999998,1.8568548125531135,0.5,0.2923033248743121,-0.9974999999999999,0.0,0.9974999999999999,3.461892439190427,1.0527847824749448,-1.0527847824749446,-3.4618924391904264
29,0.14570999999999998,1.8957136766566478,0.5,0.2829513014925007,-0.9974999999999999,0.0,0.9974999999999999,3.352107897370545,1.013800128420325,-1.0138001284203253,-3.352107897370545
30,0.1507,1.9352919643966155,0.5,0.27380538904582075,-0.9974999999999999,0.0,0.9974999999999999,3.246498661686299,0.9762166292970691,-0.9762166292970696,-3.246498661686298
31,0.15569,1.9756391482689826,0.5,0.2648590498484964,-0.9974999999999999,0.0,0.9974999999999999,3.144791653973498,0.9399560955347538,-0.9399560955347546,-3.144791653973496
32,0.16068,2.0168060700224077,0.5,0.25610642397257477,-0.9974999999999999,0.0,0.9974999999999999,3.046739874669104,0.9049475573068292,-0.9049475573068294,-3.046739874669102
33,0.16566999999999998,2.0588452165745164,0.5,0.24754225975651356,-0.9974999999999999,0.0,0.9974999999999999,2.9521191954287627,0.8711263890862501,-0.8711263890862505,-2.9521191954287618
34,0.17065999999999998,2.101810996587154,0.5,0.23916185101352783,-0.9974999999999999,0.0,0.9974999999999999,2.860725629612025,0.8384335643088181,-0.8384335643088179,-2.8607256296120256
35,0.17565,2.1457600218321526,0.5,0.23096098012731425,-0.9974999999999999,0.0,0.9974999999999999,2.7723729977260785,0.8068150175793902,-0.8068150175793902,-2.7723729977260794
36,0.18064,2.190751397222031,0.5,0.22293586636138385,-0.9974999999999999,0.0,0.9974999999999999,2.6868909212224144,0.7762210962931363,-0.7762210962931364,-2.6868909212224144
37,0.18563,2.236847023251295,0.5,0.215083118818727,-0.9974999999999999,0.0,0.9974999999999999,2.604123090781426,0.7466060870116986,-0.7466060870116982,-2.6041230907814272
38,0.19061999999999998,2.284111914575468,0.5,0.20739969357700372,-0.9974999999999999,0.0,0.9974999999999999,2.523925765250183,0.7179278046641733,-0.717927804664173,-2.523925765250184
39,0.19560999999999998,2.332614538535169,0.5,0.19988285459561062,-0.9974999999999999,0.0,0.9974999999999999,2.446166465350279,0.690147234807338,-0.6901472348073382,-2.4461664653502786
40,0.2006,2.3824271776054577,0.5,0.19253013804841945,-0.9974999999999999,0.0,0.9974999999999999,2.370722832617802,0.663228220906637,-0.6632282209066365,-2.3707228326178034
41,0.20559,2.433626320014191,0.5,0.18533931978255525,-0.9974999999999999,0.0,0.9974999999999999,2.297481629132451,0.6371371899863748,-0.6371371899863748,-2.297481629132451
42,0.21058,2.4862930831295094,0.5,0.17830838564145757,-0.9974999999999999,0.0,0.9974999999999999,2.226337857707768,0.6118429111175259,-0.6118429111175262,-2.226337857707768
43,0.21556999999999998,2.540513674671084,0.5,0.1714355044214535,-0.9974999999999999,0.0,0.9974999999999999,2.1571939855566398,0.5873162821213673,-0.5873162821213671,-2.15719398555664
44,0.22055999999999998,2.5963798973616483,0.5,0.16471900325644295,-0.9974999999999999,0.0,0.9974999999999999,2.0899592571749013,0.563530140609715,-0.5635301406097152,-2.0899592571749013
45,0.22554999999999997,2.6539897033171376,0.5,0.15815734524628478,-0.9974999999999999,0.0,0.9974999999999999,2.0245490844251104,0.5404590960919746,-0.5404590960919745,-2.0245490844251104
46,0.23054,2.713447805292417,0.5,0.1517491091618446,-0.9974999999999999,0.0,0.9974999999999999,1.960884503648709,0.518079380381649,-0.5180793803816485,-1.9608845036487095
47,0.23553,2.774866352876386,0.5,0.145492971074203,-0.9974999999999999,0.0,0.9974999999999999,1.8988916911639597,0.4963687139509916,-0.49636871395099136,-1.8988916911639597
48,0.24051999999999998,2.838365682892128,0.5,0.1393876877677669,-0.9974999999999999,0.0,0.9974999999999999,1.8385015297790819,0.47530618622862486,-0.4753061862286247,-1.8385015297790825
49,0.24550999999999998,2.9040751546381274,0.5,0.13343208180742683,-0.9974999999999999,0.0,0.9974999999999999,1.7796492200125253,0.4548721481240367,-0.45487214812403676,-1.779649220012526
50,0.25049999999999994,2.97213408224655,0.5,0.1276250281388891,-0.9974999999999999,0.0,0.9974999999999999,1.7222739306034607,0.4350481153052411,-0.43504811530524107,-1.7222739306034607
51,0.25549,3.0426927783855047,0.5,0.1219654421090639,-0.9974999999999999,0.0,0.9974999999999999,1.6663184836456166,0.4158166809599741,-0.41581668095997376,-1.6663184836456169
52,0.26048,3.1159137258567746,0.5,0.11645226880032045,-0.9974999999999999,0.0,0.9974999999999999,1.6117290703114227,0.39716143694315004,-0.3971614369431507,-1.611729070311422
53,0.26547,3.191972896417361,0.5,0.11108447357853057,-0.9974999999999999,0.0,0.9974999999999999,1.5584549936706162,0.379066902359484,-0.37906690235948454,-1.5584549936706158
54,0.27046,3.2710612394790446,0.5,0.10586103376043488,-0.9974999999999999,0.0,0.9974999999999999,1.5064484355646452,0.36151845875440636,-0.3615184587544064,-1.5064484355646446
55,0.27545,3.3533863673364293,0.5,0.10078093131098598,-0.9974999999999999,0.0,0.9974999999999999,1.4556642448881107,0.344502291192588,-0.34450229119258785,-1.4556642448881114
56,0.28043999999999997,3.4391744683919234,0.5,0.09584314648610381,-0.9974999999999999,0.0,0.9974999999999999,1.4060597449624537,0.32800533459408704,-0.32800533459408726,-1.4060597449624537
57,0.28542999999999996,3.528672485676374,0.5,0.09104665234078246,-0.9974999999999999,0.0,0.9974999999999999,1.3575945579736706,0.3120152247761417,-0.312015224776142,-1.3575945579736701
58,0.29041999999999996,3.6221506050469303,0.5,0.08639041002676229,-0.9974999999999999,0.0,0.9974999999999999,1.3102304446926798,0.2965202537157494,-0.2965202537157502,-1.3102304446926796
59,0.29541,3.719905106084303,0.5,0.08187336480807961,-0.9974999999999999,0.0,0.9974999999999999,1.2639311579099917,0.28150932860611805,-0.2815093286061188,-1.2639311579099912
60,0.3004,3.8222616392987736,0.5,0.07749444272674566,-0.9974999999999999,0.0,0.9974999999999999,1.2186623082008121,0.26697193433023514,-0.2669719343302356,-1.218662308200812
61,0.30539,3.929579006286981,0.5,0.07325254785463953,-0.9974999999999999,0.0,0.9974999999999999,1.1743912407967598,0.25289809901838567,-0.2528980990183856,-1.1743912407967598
62,0.31038,4.042253535602777,0.5,0.06914656007138698,-0.9974999999999999,0.0,0.9974999999999999,1.1310869224796394,0.23927836239430986,-0.23927836239430994,-1.1310869224796394
63,0.31537,4.160724167149864,0.5,0.0651753333116134,-0.9974999999999999,0.0,0.9974999999999999,1.0887198375341738,0.22610374664776475,-0.2261037466477649,-1.088719837534174
64,0.32036,4.285478382961013,0.5,0.061337694228444484,-0.9974999999999999,0.0,0.9974999999999999,1.047261891902713,0.21336572960015712,-0.2133657296001574,-1.0472618919027128
65,0.32535,4.417059153730328,0.5,0.05763244122353983,-0.9974999999999999,0.0,0.9974999999999999,1.0066863247779658,0.20105621995522635,-0.20105621995522707,-1.0066863247779656
66,0.33033999999999997,4.556073110306623,0.5,0.05405834379723973,-0.9974999999999999,0.0,0.9974999999999999,0.9669676269514133,0.18916753444901127,-0.18916753444901152,-0.9669676269514131
67,0.33532999999999996,4.703200200064536,0.5,0.05061414217559923,-0.9974999999999999,0.0,0.9974999999999999,0.9280814653068797,0.1776923767329353,-0.17769237673293575,-0.9280814653068795
68,0.34031999999999996,4.859205153041438,0.5,0.04729854717418358,-0.9974999999999999,0.0,0.9974999999999999,0.8900046129120531,0.1666238178410565,-0.16662381784105684,-0.8900046129120529
69,0.34530999999999995,5.024951166563006,0.5,0.04411024026147281,-0.9974999999999999,0.0,0.9974999999999999,0.8527148842166471,0.15595527810788334,-0.15595527810788254,-0.8527148842166475
70,0.3503,5.201416326066578,0.5,0.04104787378759078,-0.9974999999999999,0.0,0.9974999999999999,0.8161910749153922,0.1456805104165697,-0.14568051041657007,-0.816191074915392
71,0.35529,5.3897134226416155,0.5,0.038110071346832086,-0.9974999999999999,0.0,0.9974999999999999,0.7804129060778826,0.13579358466941555,-0.13579358466941557,-0.7804129060778825
72,0.36028,5.591114016520747,0.5,0.03529542824507592,-0.9974999999999999,0.0,0.9974999999999999,0.7453609721862802,0.1262888733831589,-0.12628887338315883,-0.7453609721862803
73,0.36527,5.8070778473744005,0.5,0.03260251204569076,-0.9974999999999999,0.0,0.9974999999999999,0.7110166927565145,0.11716103832113522,-0.1171610383211347,-0.7110166927565144
74,0.37026,6.039289030981068,0.5,0.030029863169914295,-0.9974999999999999,0.0,0.9974999999999999,0.6773622672495153,0.10840501808281389,-0.10840501808281423,-0.6773622672495151
75,0.37525,6.2897009425038695,0.5,0.027575995529936614,-0.9974999999999999,0.0,0.9974999999999999,0.644380633006557,0.10001601657882311,-0.10001601657882209,-0.6443806330065572
76,0.38023999999999997,6.560592320009891,0.5,0.025239397175063516,-0.9974999999999999,0.0,0.9974999999999999,0.6120554259674561,0.09198949232636593,-0.09198949232636536,-0.6120554259674561
77,0.38522999999999996,6.854638003129668,0.5,0.023018530933308856,-0.9974999999999999,0.0,0.9974999999999999,0.580370943952409,0.08432114850603604,-0.08432114850603657,-0.5803709439524086
78,0.39021999999999996,7.174998963531226,0.5,0.02091183503267202,-0.9974999999999999,0.0,0.9974999999999999,0.5493121123080451,0.07700692372653964,-0.07700692372653911,-0.5493121123080452
79,0.39520999999999995,7.525438057850645,0.5,0.018917723688087085,-0.9974999999999999,0.0,0.9974999999999999,0.5188644517360481,0.07004298344870707,-0.07004298344870656,-0.5188644517360484
80,0.4002,7.910470505974521,0.5,0.017034587641685084,-0.9974999999999999,0.0,0.9974999999999999,0.48901404813864263,0.0634257120247721,-0.06342571202477205,-0.4890140481386425
81,0.40519,8.335561888259075,0.5,0.015260794645500786,-0.9974999999999999,0.0,0.9974999999999999,0.4597475243296652,0.05715170531276758,-0.05715170531276815,-0.4597475243296652
82,0.41018,8.80739214130533,0.5,0.01359468987719148,-0.9974999999999999,0.0,0.9974999999999999,0.431052013472881,0.05121776382968119,-0.051217763829681254,-0.43105201347288097
