# RBER, SIGMA, SIGMA1, SIGMA2, CAPACITY, T0, LLR0, LLR1
5.000000000000000104e-04 6.078054254533340472e-01 3.039027127266670236e-01 3.039027127266670236e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.600402334500402368e+00 -7.600402334500509838e+00
1.995000000000000245e-03 6.946974168143275064e-01 3.473487084071637532e-01 3.473487084071637532e-01 0.000000000000000000e+00 0.000000000000000000e+00 6.215114235977114987e+00 -6.215114235977142521e+00
3.490000000000000047e-03 7.413456365537742787e-01 3.706728182768871394e-01 3.706728182768871394e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.654357438511095957e+00 -5.654357438511094180e+00
4.984999999999999848e-03 7.761359748793875690e-01 3.880679874396937845e-01 3.880679874396937845e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.296324409008041023e+00 -5.296324409008040135e+00
6.479999999999999649e-03 8.048721902020454788e-01 4.024360951010227394e-01 4.024360951010227394e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.032533682275595943e+00 -5.032533682275604825e+00
7.974999999999999450e-03 8.298556678307553724e-01 4.149278339153776862e-01 4.149278339153776862e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.823436659909312141e+00 -4.823436659909318358e+00
9.470000000000000986e-03 8.522570626057033305e-01 4.261285313028516653e-01 4.261285313028516653e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.650111246215425709e+00 -4.650111246215424821e+00
1.096500000000000079e-02 8.727609999099468219e-01 4.363804999549734109e-01 4.363804999549734109e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.502021338408776607e+00 -4.502021338408777495e+00
1.246000000000000059e-02 8.918058476186588868e-01 4.459029238093294434e-01 4.459029238093294434e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.372693488924722871e+00 -4.372693488924722871e+00
1.395500000000000039e-02 9.096908523532053481e-01 4.548454261766026741e-01 4.548454261766026741e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.257864125518160847e+00 -4.257864125518162624e+00
1.545000000000000019e-02 9.266302895489466618e-01 4.633151447744733309e-01 4.633151447744733309e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.154575680647424107e+00 -4.154575680647426772e+00
1.694500000000000173e-02 9.427833901262189231e-01 4.713916950631094616e-01 4.713916950631094616e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.060692264692834286e+00 -4.060692264692832509e+00
1.844000000000000153e-02 9.582720446731859409e-01 4.791360223365929705e-01 4.791360223365929705e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.974620924641707909e+00 -3.974620924641706576e+00
