# RBER, SIGMA, SIGMA1, SIGMA2, CAPACITY, T0, LLR0, LLR1
5.000000000000000104e-04 2.799517157841226800e+16 1.679710294704736000e+16 1.119806863136490800e+16 0.000000000000000000e+00 -1.352916891134556600e+16 6.167215430798731468e-01 -1.156141459904465596e-01
1.995000000000000245e-03 6.963871352666661796e-01 4.178322811599997078e-01 2.785548541066664718e-01 0.000000000000000000e+00 1.765189844372573591e-01 6.462581293094007862e+00 -6.017057378270161294e+00
3.490000000000000047e-03 7.433994576250489983e-01 4.460396745750294101e-01 2.973597830500195882e-01 0.000000000000000000e+00 1.732596851316136055e-01 5.904435524653249168e+00 -5.454755675162831885e+00
4.984999999999999848e-03 7.784930395688393068e-01 4.670958237413035397e-01 3.113972158275357671e-01 0.000000000000000000e+00 1.706910373330390862e-01 5.548325137927467843e+00 -5.095625053260619097e+00
6.479999999999999649e-03 8.075011774654826668e-01 4.845007064792895557e-01 3.230004709861931111e-01 0.000000000000000000e+00 1.684805545777895708e-01 5.286098390554333726e+00 -4.830970310719627570e+00
7.974999999999999450e-03 8.327374428714239274e-01 4.996424657228543120e-01 3.330949771485696154e-01 0.000000000000000000e+00 1.664934399320414371e-01 5.078339595163965825e+00 -4.621156731214335345e+00
9.470000000000000986e-03 8.553788652355924782e-01 5.132273191413554425e-01 3.421515460942370357e-01 0.000000000000000000e+00 1.646600452873349107e-01 4.906195062003874341e+00 -4.447217905223246781e+00
1.096500000000000079e-02 8.761138823989981228e-01 5.256683294393988959e-01 3.504455529595992824e-01 0.000000000000000000e+00 1.629391357585197320e-01 4.759169064036126606e+00 -4.298591576446317397e+00
1.246000000000000059e-02 8.953833513621729523e-01 5.372300108173037048e-01 3.581533405448691920e-01 0.000000000000000000e+00 1.613040363627856189e-01 4.630814203605014612e+00 -4.168787423876075593e+00
1.395500000000000039e-02 9.134882488132861633e-01 5.480929492879716980e-01 3.653952995253144653e-01 0.000000000000000000e+00 1.597363739005602801e-01 4.516884806105696981e+00 -4.053530282444038235e+00
1.545000000000000019e-02 9.306441109021472702e-01 5.583864665412883177e-01 3.722576443608589525e-01 0.000000000000000000e+00 1.582228851177429618e-01 4.414436191134158527e+00 -3.949854237369189391e+00
1.694500000000000173e-02 9.470111221444431626e-01 5.682066732866658532e-01 3.788044488577773095e-01 0.000000000000000000e+00 1.567536390117442446e-01 4.321342092373228638e+00 -3.855617166101461102e+00
1.844000000000000153e-02 9.627119166720380372e-01 5.776271500032228445e-01 3.850847666688152482e-01 0.000000000000000000e+00 1.553209780704791210e-01 4.236016955016972396e+00 -3.769221324271944340e+00
1.993500000000000133e-02 9.778426910851896192e-01 5.867056146511137049e-01 3.911370764340758588e-01 0.000000000000000000e+00 1.539188534057721047e-01 4.157246858328990768e+00 -3.689443194841138585e+00
2.143000000000000113e-02 9.924804508079506649e-01 5.954882704847703767e-01 3.969921803231802881e-01 0.000000000000000000e+00 1.525423889197773664e-01 4.084081756512436989e+00 -3.615325026059053481e+00
2.292500000000000093e-02 1.006687908802222919e+00 6.040127452813337516e-01 4.026751635208891678e-01 0.000000000000000000e+00 1.511875852624932348e-01 4.015764148516743681e+00 -3.546103024233852263e+00
2.442000000000000073e-02 1.020516899414509737e+00 6.123101396487058423e-01 4.082067597658038949e-01 0.000000000000000000e+00 1.498511126257314752e-01 3.951680330450344059e+00 -3.481158272502726359e+00
2.591500000000000054e-02 1.034010820027418287e+00 6.204064920164509278e-01 4.136043280109673592e-01 0.000000000000000000e+00 1.485301619534244999e-01 3.891326160049052074e+00 -3.419982255870397392e+00
2.741000000000000034e-02 1.047206417030961401e+00 6.283238502185768404e-01 4.188825668123845603e-01 0.000000000000000000e+00 1.472223357065461646e-01 3.834282439191521785e+00 -3.362152068039756525e+00
2.890500000000000014e-02 1.060135118063477710e+00 6.360810708380866263e-01 4.240540472253910842e-01 0.000000000000000000e+00 1.459255661002920867e-01 3.780196843882204671e+00 -3.307312209955338034e+00
3.039999999999999994e-02 1.072824043118120629e+00 6.436944258708723332e-01 4.291296172472482962e-01 0.000000000000000000e+00 1.446380528513034058e-01 3.728770417212803334e+00 -3.255160982730116892e+00
3.189499999999999974e-02 1.085296783792572439e+00 6.511780702755434191e-01 4.341187135170290201e-01 0.000000000000000000e+00 1.433582150555529344e-01 3.679747308909682157e+00 -3.205440149893568513e+00
3.339000000000000301e-02 1.097574012147608080e+00 6.585444072885647815e-01 4.390296048590432432e-01 0.000000000000000000e+00 1.420846534814538265e-01 3.632906867876333656e+00 -3.157926969385848714e+00
3.488499999999999934e-02 1.109673962341786391e+00 6.658043774050718122e-01 4.438695849367145785e-01 0.000000000000000000e+00 1.408161206610052119e-01 3.588057468533831784e+00 -3.112427971887795408e+00
3.638000000000000261e-02 1.121612815904611482e+00 6.729676895427668670e-01 4.486451263618446150e-01 0.000000000000000000e+00 1.395514969025441199e-01 3.545031633896384982e+00 -3.068774045404602635e+00
3.787499999999999895e-02 1.133405013071578260e+00 6.800430078429469116e-01 4.533620052286313484e-01 0.000000000000000000e+00 1.382897708581304619e-01 3.503682141688368556e+00 -3.026816510210864841e+00
3.937000000000000222e-02 1.145063506713155599e+00 6.870381040278933371e-01 4.580254026852622617e-01 0.000000000000000000e+00 1.370300236352014200e-01 3.463878884919214141e+00 -2.986423953948878829e+00
4.086499999999999855e-02 1.156599971209931299e+00 6.939599827259587128e-01 4.626399884839725307e-01 0.000000000000000000e+00 1.357714156957904594e-01 3.425506318034192255e+00 -2.947479656781957225e+00
4.236000000000000182e-02 1.168024975616436922e+00 7.008149853698620868e-01 4.672099902465747800e-01 0.000000000000000000e+00 1.345131759696852614e-01 3.388461362280101863e+00 -2.909879479320053086e+00
4.385499999999999815e-02 1.179348128259607442e+00 7.076088769557644653e-01 4.717392513038429769e-01 0.000000000000000000e+00 1.332545927418214982e-01 3.352651674634269163e+00 -2.873530116959665648e+00
4.535000000000000142e-02 1.190578198294536039e+00 7.143469189767216454e-01 4.762312793178144488e-01 0.000000000000000000e+00 1.319950059733984715e-01 3.317994207110913418e+00 -2.838347646905199362e+00
4.684499999999999775e-02 1.201723218526741688e+00 7.210339311160449682e-01 4.806892874106967195e-01 0.000000000000000000e+00 1.307338007905009536e-01 3.284413999889689073e+00 -2.804256310889076786e+00
4.834000000000000102e-02 1.212790572893341690e+00 7.276743437360050359e-01 4.851162291573367091e-01 0.000000000000000000e+00 1.294704019302566345e-01 3.251843164158496169e+00 -2.771187489145540361e+00
4.983500000000000429e-02 1.223787071295967088e+00 7.342722427775801863e-01 4.895148285183868464e-01 0.000000000000000000e+00 1.282042689775578503e-01 3.220220019974253667e+00 -2.739078830673812526e+00
5.133000000000000063e-02 1.234719013939462151e+00 7.408314083636772240e-01 4.938876055757848715e-01 0.000000000000000000e+00 1.269348922585550044e-01 3.189488361629799318e+00 -2.707873512063962540e+00
5.282500000000000390e-02 1.245592246911974232e+00 7.473553481471845172e-01 4.982368987647897152e-01 0.000000000000000000e+00 1.256617892829394179e-01 3.159596828547858394e+00 -2.677519602733161808e+00
5.432000000000000023e-02 1.256412210414289632e+00 7.538473262485737569e-01 5.025648841657158750e-01 0.000000000000000000e+00 1.243845016472867465e-01 3.130498364019937974e+00 -2.647969518749365037e+00
5.581500000000000350e-02 1.267183980787774278e+00 7.603103884726645223e-01 5.068735923151097555e-01 0.000000000000000000e+00 1.231025923277191264e-01 3.102149747470696273e+00 -2.619179550807804180e+00
