# RBER, SIGMA, SIGMA1, SIGMA2, CAPACITY, T0, LLR0, LLR1
2.741000000000000034e-02 1.065002677546946996e+00 7.455018742828628531e-01 3.195008032640840878e-01 0.000000000000000000e+00 3.035239251592840026e-01 4.183467982526021700e+00 -3.199467493105170313e+00
2.890500000000000014e-02 1.078597705015776009e+00 7.550183935110431621e-01 3.235793115047327917e-01 0.000000000000000000e+00 3.011518710991483716e-01 4.130289387991068928e+00 -3.144767533175201635e+00
3.039999999999999994e-02 1.091956546016529028e+00 7.643695822115702532e-01 3.275869638049587196e-01 0.000000000000000000e+00 2.987965693322024996e-01 4.079746615145981359e+00 -3.092763569798001377e+00
3.189499999999999974e-02 1.105103368571647815e+00 7.735723580001534483e-01 3.315310105714943112e-01 0.000000000000000000e+00 2.964551246557358688e-01 4.031585834589701101e+00 -3.043196906395070567e+00
3.339000000000000301e-02 1.118059370894945559e+00 7.826415596264618690e-01 3.354178112684836344e-01 0.000000000000000000e+00 2.941249736220962752e-01 3.985588166140360933e+00 -2.995844398410191012e+00
3.488499999999999934e-02 1.130843271788681381e+00 7.915902902520769446e-01 3.392529815366043811e-01 0.000000000000000000e+00 2.918038298755388227e-01 3.941563545904811505e+00 -2.950512222299052301e+00
3.638000000000000261e-02 1.143471702964558023e+00 8.004301920751906163e-01 3.430415108893674070e-01 0.000000000000000000e+00 2.894896403099919135e-01 3.899345881998979024e+00 -2.907030952623700593e+00
3.787499999999999895e-02 1.155959526106854263e+00 8.091716682747979172e-01 3.467878578320562899e-01 0.000000000000000000e+00 2.871805495496830840e-01 3.858789187094429085e+00 -2.865251630931912707e+00
3.937000000000000222e-02 1.168320091502027536e+00 8.178240640514192750e-01 3.504960274506082607e-01 0.000000000000000000e+00 2.848748709062418616e-01 3.819764460587742327e+00 -2.825042595897159892e+00
4.086499999999999855e-02 1.180565450806096761e+00 8.263958155642676662e-01 3.541696352418290394e-01 0.000000000000000000e+00 2.825710624294558437e-01 3.782157152544418643e+00 -2.786286904384710272e+00
4.236000000000000182e-02 1.192706533458711027e+00 8.348945734210976299e-01 3.578119600376132858e-01 0.000000000000000000e+00 2.802677070034053086e-01 3.745865083839072796e+00 -2.748880215981628794e+00
4.385499999999999815e-02 1.204753294017456566e+00 8.433273058122195964e-01 3.614259882052369699e-01 0.000000000000000000e+00 2.779634956844492799e-01 3.710796727440432541e+00 -2.712729044495532094e+00
4.535000000000000142e-02 1.216714836034057612e+00 8.517003852238402839e-01 3.650144508102172725e-01 0.000000000000000000e+00 2.756572136587927546e-01 3.676869778119453258e+00 -2.677749302582852042e+00
4.684499999999999775e-02 1.228599516859115504e+00 8.600196618013807859e-01 3.685798550577346622e-01 0.000000000000000000e+00 2.733477283331309238e-01 3.644009954388419015e+00 -2.643865082440800762e+00
4.834000000000000102e-02 1.240415036828952822e+00 8.682905257802668864e-01 3.721245110486858243e-01 0.000000000000000000e+00 2.710339791746564364e-01 3.612149988849194138e+00 -2.611007628052445906e+00
4.983500000000000429e-02 1.252168515576060015e+00 8.765179609032419661e-01 3.756505546728179934e-01 0.000000000000000000e+00 2.687149689952955667e-01 3.581228772481867217e+00 -2.579114463968499305e+00
5.133000000000000063e-02 1.263866557656267986e+00 8.847065903593874792e-01 3.791599672968803958e-01 0.000000000000000000e+00 2.663897564356601522e-01 3.551190625544098811e+00 -2.548128652857339471e+00
5.282500000000000390e-02 1.275515309259776631e+00 8.928607164818436193e-01 3.826545927779329559e-01 0.000000000000000000e+00 2.640574494513754367e-01 3.521984673249229925e+00 -2.517998159637345523e+00
5.432000000000000023e-02 1.287120507439601269e+00 9.009843552077207995e-01 3.861361522318803585e-01 0.000000000000000000e+00 2.617171996414404123e-01 3.493564308660371598e+00 -2.488675304341103622e+00
5.581500000000000350e-02 1.298687523027781010e+00 9.090812661194466182e-01 3.896062569083342808e-01 0.000000000000000000e+00 2.593681972875210850e-01 3.465886728578677189e+00 -2.460116289254617783e+00
5.730999999999999983e-02 1.310221398200567267e+00 9.171549787403969756e-01 3.930664194601701800e-01 0.000000000000000000e+00 2.570096669963383151e-01 3.438912530837852088e+00 -2.432280788550222450e+00
5.880500000000000310e-02 1.321726879486476047e+00 9.252088156405331443e-01 3.965180638459427920e-01 0.000000000000000000e+00 2.546408638559552462e-01 3.412605363507805745e+00 -2.405131590756187432e+00
6.029999999999999943e-02 1.333208446876435582e+00 9.332459128135048854e-01 3.999625340629306414e-01 0.000000000000000000e+00 2.522610700317914345e-01 3.386931618180716086e+00 -2.378634286103361362e+00
