# RBER, SIGMA, SIGMA1, SIGMA2, CAPACITY, T0, T1, T2, LLR0, LLR1, LLR2, LLR3
9.917000000000000814e-02 1.554852840723662810e+00 7.774264203618314051e-01 7.774264203618314051e-01 6.269780532243571791e-01 -6.374999999999999556e-01 0.000000000000000000e+00 6.374999999999999556e-01 3.654086310205511445e+00 9.980863983884128432e-01 -9.980863983884130652e-01 -3.654086310205510557e+00
1.006650000000000045e-01 1.565225060006334656e+00 7.826125300031673282e-01 7.826125300031673282e-01 6.222882346861933200e-01 -6.374999999999999556e-01 0.000000000000000000e+00 6.374999999999999556e-01 3.618099700275092978e+00 9.855981313139967614e-01 -9.855981313139962063e-01 -3.618099700275093422e+00
1.021600000000000008e-01 1.575622583459412196e+00 7.878112917297060980e-01 7.878112917297060980e-01 6.176206475962047193e-01 -6.449999999999999067e-01 0.000000000000000000e+00 6.449999999999999067e-01 3.600896093902865136e+00 9.835243340965387215e-01 -9.835243340965390546e-01 -3.600896093902862027e+00
1.036549999999999971e-01 1.586046847765836043e+00 7.930234238829180216e-01 7.930234238829180216e-01 6.129716487075869136e-01 -6.524999999999999689e-01 0.000000000000000000e+00 6.524999999999999689e-01 3.583762373444046911e+00 9.813806718970149445e-01 -9.813806718970154996e-01 -3.583762373444046023e+00
1.051500000000000073e-01 1.596499267756291918e+00 7.982496338781459588e-01 7.982496338781459588e-01 6.083414489873131270e-01 -6.524999999999999689e-01 0.000000000000000000e+00 6.524999999999999689e-01 3.548897045326875777e+00 9.692542563725314864e-01 -9.692542563725323745e-01 -3.548897045326873112e+00
1.066450000000000037e-01 1.606981238251074640e+00 8.034906191255373198e-01 8.034906191255373198e-01 6.037345017993804852e-01 -6.599999999999999201e-01 0.000000000000000000e+00 6.599999999999999201e-01 3.532102252869424142e+00 9.671210184438467916e-01 -9.671210184438472357e-01 -3.532102252869424142e+00
1.081400000000000000e-01 1.617494135796740506e+00 8.087470678983702532e-01 8.087470678983702532e-01 5.991459412579958066e-01 -6.674999999999998712e-01 0.000000000000000000e+00 6.674999999999998712e-01 3.515362542621877751e+00 9.649192100585209930e-01 -9.649192100585211040e-01 -3.515362542621877306e+00
1.096349999999999963e-01 1.628039320306266413e+00 8.140196601531332066e-01 8.140196601531332066e-01 5.945757724117313181e-01 -6.749999999999999334e-01 0.000000000000000000e+00 6.749999999999999334e-01 3.498674474641201293e+00 9.626502219445162156e-01 -9.626502219445158826e-01 -3.498674474641202625e+00
1.111300000000000066e-01 1.638618136610672904e+00 8.193090683053364520e-01 8.193090683053364520e-01 5.900270478866216362e-01 -6.749999999999999334e-01 0.000000000000000000e+00 6.749999999999999334e-01 3.465095147743296966e+00 9.509319931044908358e-01 -9.509319931044905028e-01 -3.465095147743299187e+00
1.126250000000000029e-01 1.649231915929336711e+00 8.246159579646683557e-01 8.246159579646683557e-01 5.854980739967190484e-01 -6.824999999999998845e-01 0.000000000000000000e+00 6.824999999999998845e-01 3.448700393237005724e+00 9.486686330708560266e-01 -9.486686330708553605e-01 -3.448700393237007944e+00
